Glyph Name,Master A,Master A LSB,Master A RSB,Master A Adv Width,Master B,Master B LSB,Master B RSB,Master B Advance Width,Match?
period,x1y1t1000-min,100,100,204,x1y1000t1000-min,100,100,204,Yes
comma,x1y1t1000-min,752.0,-462.0,362,x1y1000t1000-min,722.0,-432.0,392,No
colon,x1y1t1000-min,100.0,100.0,204,x1y1000t1000-min,100.0,100.0,204,Yes
semicolon,x1y1t1000-min,234.0,-396.0,428,x1y1000t1000-min,221.0,-204.87920000000008,415,No
ellipsis,x1y1t1000-min,100.0,100.0,1596,x1y1000t1000-min,100.0,100.0,1596,Yes
exclam,x1y1t1000-min,100.0,100.0,204,x1y1000t1000-min,100.0,100.0,204,Yes
question,x1y1t1000-min,425,265,4037,x1y1000t1000-min,425,265,4037,Yes
bullet,x1y1t1000-min,74,74,204,x1y1000t1000-min,74,74,204,Yes
numbersign,x1y1t1000-min,457,218,3807,x1y1000t1000-min,457,114,3807,No
slash,x1y1t1000-min,2419.0,2415.0,2672,x1y1000t1000-min,715.0,719.0,972,No
backslash,x1y1t1000-min,257,253,2672,x1y1000t1000-min,257,253,972,No
periodcentered,x1y1t1000-min,100.0,306.0,410,x1y1000t1000-min,104.0,302.0,410,No
asterisk,x1y1t1000-min,120,-20,1470,x1y1000t1000-min,210,207,1564,No
hyphen,x1y1t1000-min,400,400,2817,x1y1000t1000-min,400,400,2817,Yes
endash,x1y1t1000-min,400,400,4517,x1y1000t1000-min,400,400,4517,Yes
emdash,x1y1t1000-min,110,110,5552,x1y1000t1000-min,110,110,5552,Yes
underscore,x1y1t1000-min,400.0,400.0,2817,x1y1000t1000-min,400.0,2100.0,4517,No
parenleft,x1y1t1000-min,490,260,1969,x1y1000t1000-min,490,260,1969,Yes
parenright,x1y1t1000-min,2668.0,-1709.0,2178,x1y1000t1000-min,2459.0,-1709.0,1969,No
braceleft,x1y1t1000-min,100,260,1930,x1y1000t1000-min,100,260,1930,Yes
braceright,x1y1t1000-min,1870.0,-1510.0,1930,x1y1000t1000-min,1870.0,-1510.0,1930,Yes
bracketleft,x1y1t1000-min,700,260,2179,x1y1000t1000-min,700,260,2179,Yes
bracketright,x1y1t1000-min,2879.0,-1919.0,2179,x1y1000t1000-min,2879.0,-1919.0,2179,Yes
quotedblleft,x1y1t1000-min,290.0,0.0,1232,x1y1000t1000-min,260.0,0.0,1232,No
quotedblright,x1y1t1000-min,1522.0,-1232.0,1232,x1y1000t1000-min,1492.0,-1232.0,1232,No
quoteleft,x1y1t1000-min,290,220,582,x1y1000t1000-min,260,220,582,No
quoteright,x1y1t1000-min,715.0,-205.0,582,x1y1000t1000-min,685.0,-205.0,582,No
quotedbl,x1y1t1000-min,137.0,137.0,1129,x1y1000t1000-min,137.0,137.0,1129,Yes
quotesingle,x1y1t1000-min,137,137,276,x1y1000t1000-min,137,137,276,Yes
ampersand,x1y1t1000-min,210,201,4875,x1y1000t1000-min,210,201,4875,Yes
at,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
copyright,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
registered,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
trademark,x1y1t1000-min,60.0,540.0,9611,x1y1000t1000-min,60.0,540.0,9611,Yes
degree,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
bar,x1y1t1000-min,700,700,1402,x1y1000t1000-min,700,700,1402,Yes
cent,x1y1t1000-min,330.0,321.0,3042,x1y1000t1000-min,330.0,321.0,3042,Yes
dollar,x1y1t1000-min,490.0,490.0,4453,x1y1000t1000-min,490.0,490.0,4453,Yes
euro,x1y1t1000-min,-70,540,4376,x1y1000t1000-min,-70,540,4376,Yes
sterling,x1y1t1000-min,-70,541,4376,x1y1000t1000-min,-70,541,4376,Yes
yen,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
plus,x1y1t1000-min,380,380,2767,x1y1000t1000-min,380,380,2767,Yes
minus,x1y1t1000-min,450,450,4217,x1y1000t1000-min,450,450,4217,Yes
multiply,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
divide,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
equal,x1y1t1000-min,450.0,450.0,4217,x1y1000t1000-min,450.0,450.0,4218,No
greater,x1y1t1000-min,320,200,2115,x1y1000t1000-min,259,242,1655,No
less,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
asciitilde,x1y1t1000-min,0,1200,1200,x1y1000t1000-min,0,1200,1200,Yes
asciicircum,x1y1t1000-min,0,1200,1200,x1y1000t1000-min,0,1200,1200,Yes
percent,x1y1t1000-min,0,500,500,x1y1000t1000-min,0,500,500,Yes
grave,x1y1t1000-min,0,1315,1315,x1y1000t1000-min,0,1315,1315,Yes
A,x1y1t1-min,31,35,164,x1y1000t1-min,31,35,164,Yes
B,x1y1t1-min,35,19,152,x1y1000t1-min,35,19,152,Yes
C,x1y1t1-min,31,28,154,x1y1000t1-min,31,28,154,Yes
D,x1y1t1-min,35,29,152,x1y1000t1-min,35,29,152,Yes
E,x1y1t1-min,35,26,120,x1y1000t1-min,35,26,120,Yes
F,x1y1t1-min,35,18,140,x1y1000t1-min,35,6,128,No
G,x1y1t1-min,31,28,155,x1y1000t1-min,31,28,155,Yes
H,x1y1t1-min,35,35,168,x1y1000t1-min,35,35,168,Yes
I,x1y1t1-min,35,35,72,x1y1000t1-min,35,35,72,Yes
J,x1y1t1-min,25,31,132,x1y1000t1-min,25,31,132,Yes
K,x1y1t1-min,47,29,172,x1y1000t1-min,47,29,181,No
L,x1y1t1-min,31,0,105,x1y1000t1-min,31,0,105,Yes
M,x1y1t1-min,31,35,234,x1y1000t1-min,31,35,234,Yes
N,x1y1t1-min,31,35,159,x1y1000t1-min,31,35,159,Yes
O,x1y1t1-min,31,31,160,x1y1000t1-min,31,31,160,Yes
P,x1y1t1-min,35,34,161,x1y1000t1-min,35,34,161,Yes
Q,x1y1t1-min,31.0,31.0,160,x1y1000t1-min,31.0,31.0,160,Yes
R,x1y1t1-min,35,-5,161,x1y1000t1-min,35,-5,161,Yes
S,x1y1t1-min,29,29,155,x1y1000t1-min,29,29,155,Yes
T,x1y1t1-min,0,0,124,x1y1000t1-min,0,0,124,Yes
U,x1y1t1-min,190.0,-124.0,159,x1y1000t1-min,190.0,-124.0,159,Yes
V,x1y1t1-min,35,-15,136,x1y1000t1-min,35,-15,136,Yes
W,x1y1t1-min,265.0,-199.0,234,x1y1000t1-min,265.0,-199.0,234,Yes
X,x1y1t1-min,18,18,144,x1y1000t1-min,18,30,156,No
Y,x1y1t1-min,16,2,107,x1y1000t1-min,16,2,107,Yes
Z,x1y1t1-min,29,29,154,x1y1000t1-min,29,30,155,No
a,x1y1t1-min,31,34,154,x1y1000t1-min,31,34,154,Yes
b,x1y1t1-min,31,31,157,x1y1000t1-min,31,31,157,Yes
c,x1y1t1-min,31,19,127,x1y1000t1-min,31,19,127,Yes
d,x1y1t1-min,31,31,160,x1y1000t1-min,31,31,160,Yes
e,x1y1t1-min,31,29,138,x1y1000t1-min,31,36,145,No
f,x1y1t1-min,10,23,133,x1y1000t1-min,10,23,133,Yes
g,x1y1t1-min,31,31,154,x1y1000t1-min,31,31,154,Yes
h,x1y1t1-min,31,34,158,x1y1000t1-min,31,34,158,Yes
